union,reg,cast,turnout,valid,rej,hindu,muslim,cov,bnp,jam,bnp_p,jam_p,oth_p,margin,lead
Magurkhali,12627,9256,73.3032390908371,9034,2.398444252376837,87.97552364863516,11.569660576847495,100.0,6947,1961,76.89838388310825,21.706885100730574,1.394731016161169,4986,BNP
Rangpur,16200,12244,75.58024691358025,11894,2.8585429598170533,83.93356297121142,15.956732836846383,100.0,8534,3151,71.75046241802589,26.492349083571547,1.7571884984025559,5383,BNP
Bhandarpara,15877,12560,79.10814385589217,12314,1.9585987261146496,55.717752305248716,44.04518663804523,100.0,8178,3935,66.41221374045801,31.95549780737372,1.6322884521682637,4243,BNP
Gutudia,23628,17088,72.3209751142712,16629,2.6860955056179776,53.99581255766181,45.73560562976169,100.0,9722,6526,58.46412893138493,39.244693006194,2.291178062421072,3196,BNP
Shovna,18791,14880,79.18684476611143,14526,2.379032258064516,51.95863171041535,47.75133025237743,100.0,9364,4963,64.463720225802,34.16632245628528,1.3699573179127083,4401,BNP
Ragunathpur,23528,17817,75.72679360761646,17374,2.4863894033787957,40.11469243395033,59.834904726215726,100.0,9055,8101,52.11810751697939,46.62714400828825,1.2547484747323587,954,BNP
Atlia,28671,21933,76.4989013288689,21448,2.2112798066839923,30.91310852193944,69.07101575771247,43.56318230965087,12581,8657,58.65814994405073,40.3627377844088,0.97911227154047,3924,BNP
Sharafpur,15702,12209,77.75442618774679,11961,2.0312883938078468,28.442015096413552,71.50118789953873,100.0,5946,5882,49.711562578379734,49.176490260011704,1.1119471616085612,64,BNP
Rudaghara,22023,16944,76.93774690096717,16583,2.130547686496695,26.94270631055738,73.04391730041411,100.0,7586,8858,45.745643128505094,53.41614906832298,0.838207803171923,-1272,Jamaat
Dumuria,25756,19531,75.83087435937257,19146,1.9712252316829655,24.262254877958423,75.71079357425113,100.0,9349,9631,48.8300428287893,50.3029353389742,0.8670218322364985,-282,Jamaat
Dhamalia,20582,16224,78.82615877951608,15961,1.6210552268244576,20.011664010146866,79.97214679632124,88.97580410067049,6492,9398,40.67414322410877,58.881022492325044,0.4448342835661926,-2906,Jamaat
Kharnia,18500,14814,80.07567567567567,14505,2.085864722559741,19.99219259925475,79.99174898419439,100.0,6719,7628,46.32195794553602,52.58876249569114,1.089279558772837,-909,Jamaat
Sahas,17898,14026,78.36629791038105,13727,2.131755311564238,17.857436821543264,82.12338489443049,86.78623309867024,6290,7363,45.82210242587601,53.6388140161725,0.5390835579514824,-1073,Jamaat
Jamira,17582,13551,77.07314298714594,13299,1.8596413548815585,12.157131076214736,87.80356236995279,100.0,6465,6759,48.61267764493571,50.82337017820889,0.5639521768554027,-294,Jamaat
Maguraghona,20251,15909,78.55908350204928,15526,2.4074423282418755,12.058526501984073,87.90813643780054,88.06972495185423,6933,8455,44.65412855854695,54.457039804199404,0.888831637253639,-1522,Jamaat
Damodar,34169,24838,72.69162106002517,24384,1.827844431918834,11.381601829941149,88.58075020250988,100.0,10175,14026,41.72818241469816,57.52132545931759,0.750492125984252,-3851,Jamaat
Phultala,25620,19229,75.05464480874316,18850,1.970981330282386,9.516445542502488,90.41785717403042,100.0,8134,10576,43.15119363395225,56.10610079575597,0.7427055702917772,-2442,Jamaat
Atra Gilatala,41081,28258,68.78605681458582,27770,1.7269445820652558,6.124298290793043,93.77748787231482,100.0,9155,18444,32.967230824630896,66.41699675909254,0.6157724162765574,-9289,Jamaat
