cid,name,winner,winner_pct,turnout,jam,bnp,ncp,median_age,u35,first_time_pct,non_muslim_pct,hindu_pct,stype
1,Panchagarh-1,BNP,50.38,75.47,0.0,50.38,47.98,40.0,36.49,38.68,9.48,9.41,rural
2,Panchagarh-2,BNP,55.52,75.49,40.79,55.52,0.0,41.0,35.6,37.85,23.26,23.08,rural
3,Thakurgaon-1,BNP,62.31,75.05,36.66,62.31,0.0,41.0,35.53,37.48,24.37,23.85,rural
4,Thakurgaon-2,BNP,49.98,71.37,47.55,49.98,0.0,41.0,33.45,35.51,13.82,13.65,rural
5,Thakurgaon-3,BNP,51.82,70.49,35.66,51.82,0.0,40.0,35.34,37.36,26.44,25.52,rural
6,Dinajpur-1,BNP,59.06,72.94,38.54,59.06,0.0,41.0,35.28,37.55,34.19,32.21,rural
7,Dinajpur-2,BNP,51.61,73.1,38.53,51.61,0.0,41.0,34.9,36.77,30.21,28.92,rural
8,Dinajpur-3,BNP,49.63,68.17,47.99,49.63,0.0,42.0,33.11,35.08,16.78,15.6,rural
9,Dinajpur-4,BNP,55.56,71.34,42.84,55.56,0.0,41.0,35.39,37.53,24.53,24.0,rural
10,Dinajpur-5,Independent,36.94,69.72,0.0,29.61,33.01,41.0,34.61,36.6,14.32,12.64,rural
11,Dinajpur-6,BNP,51.24,71.93,47.43,51.24,0.0,41.0,34.06,36.01,10.61,6.5,rural
12,Nilphamari-1,Jamaat,51.32,63.68,51.32,0.0,0.0,40.0,36.28,38.3,14.25,14.23,rural
13,Nilphamari-2,Jamaat,51.16,74.12,51.16,47.41,0.0,40.0,36.46,38.56,20.19,20.16,rural
14,Nilphamari-3,Jamaat,53.74,69.16,53.74,44.11,0.0,40.0,37.33,39.36,18.91,18.9,rural
15,Nilphamari-4,Jamaat,43.37,64.17,43.37,28.32,0.0,41.0,35.11,37.11,11.06,11.03,rural
16,Lalmonirhat-1,BNP,48.72,70.6,45.41,48.72,0.0,40.0,37.77,39.89,8.61,8.6,rural
17,Lalmonirhat-2,BNP,45.38,63.16,42.77,45.38,0.0,41.0,35.45,37.59,17.23,17.22,rural
18,Lalmonirhat-3,BNP,68.98,65.74,27.69,68.98,0.0,41.0,33.48,35.34,14.86,14.84,rural
19,Rangpur-1,Jamaat,65.89,59.38,65.89,31.07,0.0,,,,,,rural
20,Rangpur-2,Jamaat,52.86,67.2,52.86,31.46,0.0,41.0,34.01,36.06,11.98,11.5,rural
21,Rangpur-3,Jamaat,56.01,62.41,56.01,26.94,0.0,,,,,,city
22,Rangpur-4,NCP,45.28,64.67,0.0,42.73,45.28,41.0,33.04,35.06,7.59,7.57,rural
23,Rangpur-5,Jamaat,56.39,66.45,56.39,37.0,0.0,42.0,31.64,33.79,8.5,7.59,rural
24,Rangpur-6,Jamaat,49.56,67.99,49.56,48.74,0.0,42.0,33.22,35.08,7.37,6.38,rural
25,Kurigram-1,Jamaat,39.41,63.18,39.41,34.56,0.0,41.0,34.89,36.69,3.48,3.48,rural
26,Kurigram-2,NCP,45.74,65.09,0.0,43.56,45.74,41.0,34.52,36.47,10.96,10.96,rural
27,Kurigram-3,Jamaat,48.12,60.66,48.12,35.54,0.0,42.0,33.08,35.12,7.25,7.25,rural
28,Kurigram-4,Jamaat,48.41,61.2,48.41,38.13,0.0,41.0,36.0,38.14,1.95,1.95,rural
29,Gaibandha-1,Jamaat,57.69,57.91,57.69,15.72,0.0,41.0,34.17,36.01,7.97,7.95,rural
30,Gaibandha-2,Jamaat,50.47,58.79,50.47,38.43,0.0,41.0,33.6,35.51,7.04,6.99,rural
