tier,district_bn,upazila_bn,unit_bn,key1,key2,key3,name_en,score,nsim,roll_voters,registered,union_ward_bn,voters,u35,first_time,muslim,hindu,indigenous,christian,buddhist,unknown,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65p,ward_no,ukey,n_centres,cid,cast,turnout,bnp_share,jamaat_share,ncp_share,iab_share,bnp_coal_share,jam_coal_share,classified,minority_pct,hindu_pct,u35_pct,first_time_pct,roll_ratio,district_en,belt,ok,jam_stood,bnp_stood,seat_winner
union,কক্সবাজার,রামু,রাজারকুল,Cox's Bazar,Ramu,Rajarkul,Rajarkul,0.996,1.0,16178,15934,রাজারকুল,16178,6420,6742,13636,1063,3,0,1475,1,2140,4280,4270,2537,1613,1338,,Cox's Bazar||Ramu||Rajarkul,5,296,10339.0,64.88640642650935,61.36957152529258,36.09633426830448,0.0,1.7313086371989554,61.36957152529258,36.09633426830448,16177,15.707485936823886,6.5710576744761084,39.68352083075782,41.67387810606997,1.0153131668131041,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,রামু,চাকমারকুল,Cox's Bazar,Ramu,Chakmarkul,Chakmarkul,0.994,1.0,13370,13069,চাকমারকুল,13370,5323,5690,12836,383,1,0,149,1,1715,3608,3513,2060,1339,1135,,Cox's Bazar||Ramu||Chakmarkul,3,296,8552.0,65.43729436070089,48.46819457436857,48.0823199251637,0.0,3.0636108512628626,48.46819457436857,48.0823199251637,13369,3.986835215797741,2.864836562196125,39.81301421091997,42.55796559461481,1.0230316014997323,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,রামু,কাউয়ারখোপ,Cox's Bazar,Ramu,Kauar Khop,Kauar Khop,0.957,0.947,17700,17466,কাউয়ারখোপ,17700,6353,6670,16894,211,0,0,593,2,1951,4402,5054,3010,1737,1546,,Cox's Bazar||Ramu||Kauar Khop,6,296,11521.0,65.96244131455398,53.415502126551516,41.04678413332176,0.0,5.095043833000608,53.415502126551516,41.04678413332176,17698,4.542886201830715,1.1922251101819414,35.89265536723164,37.68361581920904,1.0133974579182412,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,রামু,খুনিয়া পালং,Cox's Bazar,Ramu,Khuniapalang,Khuniapalang,0.935,0.917,26549,26289,খুনিয়া পালং,26549,9886,10371,25928,258,3,0,358,2,3180,6706,7935,4370,2420,1937,,Cox's Bazar||Ramu||Khuniapalang,9,296,18892.0,71.86275628589904,58.19923777260216,38.39720516620792,0.0,1.7679441033241583,58.19923777260216,38.39720516620792,26547,2.331713564621238,0.9718612272573172,37.23680741270858,39.06361821537534,1.009890068089315,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,রামু,জোয়ারিয়ানালা,Cox's Bazar,Ramu,Joarianala,Joarianala,0.927,0.909,22658,22226,জোয়ারিয়ানালা,22658,8633,9094,21348,740,4,1,564,1,2697,5936,6150,3627,2392,1856,,Cox's Bazar||Ramu||Joarianala,7,296,13731.0,61.77899757041303,61.23370475566237,37.09125336829073,0.0,1.22350884859078,61.23370475566237,37.09125336829073,22657,5.777463918435804,3.266098777419782,38.1013328625651,40.13593432783123,1.0194366957617205,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,রামু,কচ্ছপিয়া,Cox's Bazar,Ramu,Kachchhapia,Kachchhapia,0.889,0.857,20583,20255,কচ্ছপিয়া,20583,8075,8458,19690,890,2,1,0,0,2936,5139,5660,3228,1919,1701,,Cox's Bazar||Ramu||Kachchhapia,5,296,14605.0,72.10565292520366,48.53817185895242,50.43478260869565,0.0,0.7874015748031497,48.53817185895242,50.43478260869565,20583,4.338531798085799,4.323956663265802,39.23140455715882,41.092163435845116,1.0161935324611207,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,রামু,দক্ষিণ মিঠাছড়ি,Cox's Bazar,Ramu,Dakkhin Mithachhari,Dakkhin Mithachhari,0.882,0.848,20355,19992,দক্ষিণ মিঠাছড়ি,20355,8545,9014,18963,1148,176,0,35,33,2989,5556,5221,3294,1854,1441,,Cox's Bazar||Ramu||Dakkhin Mithachhari,5,296,14257.0,71.31352541016406,50.41733885109069,47.331135582520865,0.0,1.9078347478431648,50.41733885109069,47.331135582520865,20322,6.687333923826395,5.649050290325755,41.97985752886269,44.283959715057726,1.018157262905162,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,রামু,রশিদ নগর,Cox's Bazar,Ramu,Rashidnagar,Rashidnagar,0.876,0.842,13697,13367,রশিদ নগর,13697,5462,5777,13638,58,0,0,0,1,1827,3635,3865,2177,1281,912,,Cox's Bazar||Ramu||Rashidnagar,4,296,8745.0,65.42230867060672,49.262435677530014,48.679245283018865,0.0,1.6352201257861636,49.262435677530014,48.679245283018865,13696,0.42348130841121495,0.42348130841121495,39.87734540410309,42.17711907717018,1.0246876636492857,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,রামু,ফতেখাঁরকুল,Cox's Bazar,Ramu,Fatekharkul,Fatekharkul,0.86,0.818,25435,25072,ফতেখাঁরকুল,25435,9266,9883,19326,2060,199,2,3828,20,2929,6337,6815,4045,2789,2517,,Cox's Bazar||Ramu||Fatekharkul,9,296,14748.0,58.82259093809828,54.88879848114998,42.175210197992946,0.0,1.762950908597776,54.88879848114998,42.175210197992946,25415,23.95829234703915,8.105449537674602,36.43011598191468,38.85590721446825,1.0144783024888322,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,রামু,গর্জনিয়া,Cox's Bazar,Ramu,Garjania,Garjania,0.846,0.8,15757,15531,গর্জনিয়া,15757,5847,6130,15256,443,55,0,0,3,2147,3700,4462,2625,1462,1361,,Cox's Bazar||Ramu||Garjania,7,296,10935.0,70.40757195286845,48.77914951989026,50.23319615912209,0.0,0.6675811614083219,48.77914951989026,50.23319615912209,15754,3.1611019423638442,2.811984257966231,37.10731738275052,38.90334454528146,1.014551542077136,Cox's Bazar,False,1,True,True,BNP
