district_en,upazila_en,district_bn,upazila_bn,voters,u35,first_time,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65p,muslim,hindu,indigenous,christian,buddhist,unknown,registered,valid_votes_cast,turnout,bnp_share,jamaat_share,ncp_share,iab_share,km_share,independent_share,bnp_coalition_share,jamaat_coalition_share,leading_coalition,u35_pct,first_time_pct,minority_pct,hindu_pct,roll_ratio,ok
Cox's Bazar,Eidgaon,কক্সবাজার,ঈদগাঁও,99403,38242,40254,12530,25712,26336,16556,9778,8486,79754,4495,8,73,9,15064,96142,61034,63.48318112791496,51.36808991709539,47.21139037257922,0.0,1.1108562440606875,0.0,0.1228823278828194,51.36808991709539,47.21139037257922,BNP-led Coalition,38.47167590515377,40.49575968532137,5.4363936020109325,5.3296814048067915,1.0339185787689045,1
Cox's Bazar,Ukhia,কক্সবাজার,উখিয়া,172891,69008,72568,26724,42284,45823,27490,16019,14548,138879,4418,1547,43,9223,18781,171167,121579,71.0294624547956,49.91322514578998,48.52153743656388,0.0,1.425410638350373,0.0,0.0,49.91322514578998,48.52153743656388,BNP-led Coalition,39.914165572528354,41.97326639327669,9.883200311465837,2.866783466355201,1.010072034913272,1
Cox's Bazar,Coxs Bazar Sadar,কক্সবাজার,কক্সবাজার সদর,240612,87209,91871,28234,58975,65688,41679,25405,20630,180193,21101,1882,148,1653,35635,236574,147235,62.2363404262514,51.95979216898156,46.29401976432234,0.0,1.221177029918158,0.0,0.2282066084830373,51.95979216898156,46.29401976432234,BNP-led Coalition,36.244659451731415,38.182218675710274,12.09111266142055,10.294325704835178,1.017068655050851,1
Cox's Bazar,Kutubdia,কক্সবাজার,কুতুবদিয়া,104918,43100,45720,15430,27670,25546,17996,9695,8567,83352,6754,11,16,4,14781,103586,65654,63.38115189311297,44.78173454778079,53.687513327443874,0.0,1.2367867913607702,0.0,0.0,44.78173454778079,53.687513327443874,Jamaat-led Coalition,41.07970033740636,43.57688861777769,7.527430466955856,7.49303837491818,1.0128588805437029,1
Cox's Bazar,Chakaria,কক্সবাজার,চকরিয়া,391687,158036,165304,57358,100678,100884,62577,36798,33380,295948,22336,946,222,2162,70073,384800,251296,65.3056133056133,60.371434483636826,38.27000827709155,0.0,1.358557239271616,0.0,0.0,60.371434483636826,38.27000827709155,BNP-led Coalition,40.34752238394432,42.20308562704404,7.980373988694522,6.944971301000578,1.017897609147609,1
Cox's Bazar,Teknaf,কক্সবাজার,টেকনাফ,202779,80118,84150,27367,52751,55081,32989,18553,16034,176841,2487,1627,46,178,21600,200655,126203,62.89551718123147,49.39422993114268,48.41723255390126,0.0,2.028477928416915,0.0,0.0,49.39422993114268,48.41723255390126,BNP-led Coalition,39.510008432825884,41.498380009764325,2.3943172221946254,1.3726756412166974,1.0105853330343126,1
Cox's Bazar,Pekua,কক্সবাজার,পেকুয়া,148746,60818,63479,20594,40224,38526,24992,13076,11334,124031,1614,101,50,3,22947,146055,98244,67.2650713772209,69.26326289646187,29.660844428158462,0.0,1.075892675379667,0.0,0.0,69.26326289646187,29.660844428158462,BNP-led Coalition,40.88714990655211,42.67610557594826,1.405416577238293,1.282999069944912,1.0184245660881177,1
Cox's Bazar,Maheshkhali,কক্সবাজার,মহেশখালী,282907,109562,117218,38618,70944,78979,45105,25485,23769,221718,15291,664,82,1126,44026,280053,158516,56.60214316575791,60.094249160967976,34.4249160967978,0.0,5.008327235105605,0.0,0.0,60.094249160967976,34.4249160967978,BNP-led Coalition,38.72721424355,41.43340391011888,7.184748891707587,6.401095105931405,1.0101909281457435,1
Cox's Bazar,Ramu,কক্সবাজার,রামু,205890,79053,83464,26382,52671,56790,33223,20073,16747,168044,7920,508,62,6918,22438,202330,135217,66.8299313003509,53.72993040815874,43.66536752035617,0.0,1.9317097702212,0.0,0.3890043411701191,53.72993040815874,43.66536752035617,BNP-led Coalition,38.39574530088883,40.538151440089365,8.398927239822951,4.317205590563199,1.017595018039836,1
Kishoreganj,Austagram,কিশোরগঞ্জ,অষ্টগ্রাম,143283,54954,57894,18510,36444,36241,23154,15180,13754,115090,18522,49,19,0,9603,149742,71257,47.58651547328071,72.7760079711467,20.88496568758157,0.0,0.4883730721192303,0.9851663696198268,4.582005978360021,72.7760079711467,21.533323041946755,BNP-led Coalition,38.35346831096501,40.40535164674107,13.906343506882106,13.855475763016155,0.95686580919181,1
Kishoreganj,Itna,কিশোরগঞ্জ,ইটনা,153333,60202,63687,21843,38359,37205,24689,15946,15291,118442,21304,29,38,0,13520,152642,76614,50.19195241152501,70.79776542146344,26.47688412039575,0.0,1.5206098102174537,0.3289216070169943,0.3732999190748427,70.79776542146344,26.47688412039575,BNP-led Coalition,39.26225926578101,41.53509029367455,15.285416949782924,15.237495797958704,1.004526932299105,1
Kishoreganj,Katiadi,কিশোরগঞ্জ,কটিয়াদী,277054,89154,94232,19675,69479,71633,48738,34122,33407,228020,11629,90,51,0,37264,291806,148069,50.74227397654606,48.696891314184604,48.45848894772032,0.0,1.1163714214319,0.0,0.6841405020632273,48.696891314184604,48.45848894772032,BNP-led Coalition,32.17928634850968,34.01214203729237,4.90846157054089,4.849660119271029,0.9494458647183402,1
Kishoreganj,Karimganj,কিশোরগঞ্জ,করিমগঞ্জ,291015,111903,116812,38637,73266,68968,45797,32999,31347,235238,7079,102,107,0,48489,289057,147253,50.9425476636096,47.967104235567355,45.50739203955098,0.0,4.94523031788826,0.0,0.8414090035517103,47.967104235567355,45.50739203955098,BNP-led Coalition,38.45265707953198,40.13951170901843,3.0050386350329448,2.9188623075464073,1.0067737505059555,1
Kishoreganj,Kishoreganj Sadar,কিশোরগঞ্জ,কিশোরগঞ্জ সদর,379183,141773,149014,48676,93097,91674,59053,44520,42156,294662,22285,198,128,4,61906,375962,189086,50.29391268266474,43.47862877209312,0.0,0.0,0.0,38.149307722412026,17.787144473943073,43.47862877209312,0.0,BNP-led Coalition,37.389070712558315,39.29870273720077,7.127840971769148,7.023830911159649,1.008567355211431,1
Kishoreganj,Kuliarchar,কিশোরগঞ্জ,কুলিয়ারচর,170635,69121,71990,24381,44740,40874,25776,18161,16702,141212,11625,34,38,0,17726,168563,104601,62.05454340513636,86.44181221976845,0.0,0.0,1.0563952543474728,11.432969092073687,0.0,86.44181221976845,11.432969092073687,BNP-led Coalition,40.50810208925484,42.189468749084305,7.649647829754953,7.602561000333532,1.0122921400307303,1
Kishoreganj,Tarail,কিশোরগঞ্জ,তারাইল,157309,59222,62514,20058,39164,38437,24913,17783,16953,129111,7321,48,36,0,20793,156411,79406,50.76752913797623,51.63967458378461,43.1516510087399,0.0,4.347278543183135,0.0,0.2946880588368637,51.63967458378461,43.1516510087399,BNP-led Coalition,37.64692420649804,39.73962074642901,5.424272612734039,5.362741363649682,1.00574128418078,1
Kishoreganj,Nikli,কিশোরগঞ্জ,নিyলী,128036,48081,50228,17032,31049,32022,21362,13922,12649,100136,6223,50,42,0,21585,126827,68952,54.36697233238979,33.484162895927604,26.998491704374057,0.0,1.741791391112658,0.0,37.16643462118575,33.484162895927604,26.998491704374057,Independent,37.55271954762723,39.22959167734075,5.932306882979023,5.845882142957793,1.009532670488145,1
Kishoreganj,Pakundia,কিশোরগঞ্জ,পাকুন্দিয়া,224639,68339,72658,14806,53533,59619,40169,28065,28445,188114,5590,77,63,0,30795,233198,120343,51.60550262009108,58.591692080137605,38.3977464414216,0.0,1.537272629068579,0.0,0.5367989829071903,58.591692080137605,38.3977464414216,BNP-led Coalition,30.421698814542445,32.34433913968634,2.9559852252326615,2.883762200532387,0.9632972838532065,1
Kishoreganj,Bajitpur,কিশোরগঞ্জ,বাজিতপুর,225505,87101,90900,29140,57961,54277,36320,24739,23067,181357,20407,129,49,0,23563,223274,135996,60.909913379972586,31.639901173563928,25.55148680843554,0.0,1.0735609870878555,0.0,40.77399335274567,31.639901173563928,25.55148680843554,Independent,38.624864193698585,40.30952750493337,10.193520911945011,10.105376791355932,1.0099922068848142,1
Kishoreganj,Bhairab,কিশোরগঞ্জ,ভৈরব,258134,103610,107762,32795,70815,63043,40959,27142,23380,219518,11423,149,106,0,26938,255084,130813,51.28232268586034,72.91018476756898,0.0,0.0,0.9647359207418224,23.714003959851084,0.0,72.91018476756898,23.714003959851084,BNP-led Coalition,40.13806782523805,41.74653474551977,5.051125451997439,4.940829426114639,1.01195684558812,1
